event_id,event_type,target_type,target_id,start,end,severity,payload
SCN_MAINT_EDGE_ROAD_NODE_046_NODE_064,maintenance,edge,EDGE_ROAD_NODE_046_NODE_064,2025-10-03,2025-10-05,0.7054600959207704,"{""time_mult"": 1.524677106803843, ""cost_mult"": 1.2530686565602172}"
SCN_MAINT_EDGE_AIR_NODE_014_NODE_099,maintenance,edge,EDGE_AIR_NODE_014_NODE_099,2025-08-28,2025-08-30,0.7184453217840179,"{""time_mult"": 1.437902001736347, ""cost_mult"": 1.2225734140687832}"
SCN_MAINT_EDGE_TRANSFER_NODE_029_NODE_067,maintenance,edge,EDGE_TRANSFER_NODE_029_NODE_067,2025-09-10,2025-09-13,0.6509871319414351,"{""time_mult"": 1.53603294229327, ""cost_mult"": 1.3172490465538302}"
SCN_MAINT_EDGE_AIR_NODE_043_NODE_058,maintenance,edge,EDGE_AIR_NODE_043_NODE_058,2025-10-26,2025-10-29,0.7856263687435854,"{""time_mult"": 1.3875016828521556, ""cost_mult"": 1.3433317899296005}"
SCN_MAINT_EDGE_AIR_NODE_061_NODE_092,maintenance,edge,EDGE_AIR_NODE_061_NODE_092,2025-10-07,2025-10-09,0.6519371730612402,"{""time_mult"": 1.218764657512732, ""cost_mult"": 1.1164661950962944}"
SCN_MAINT_EDGE_AIR_NODE_025_NODE_087,maintenance,edge,EDGE_AIR_NODE_025_NODE_087,2025-08-13,2025-08-16,0.6809237864256559,"{""time_mult"": 1.2176302330952082, ""cost_mult"": 1.3100620364309663}"
SCN_MAINT_EDGE_ROAD_NODE_028_NODE_089,maintenance,edge,EDGE_ROAD_NODE_028_NODE_089,2025-10-13,2025-10-14,0.5477487022920612,"{""time_mult"": 1.2615700539260184, ""cost_mult"": 1.1319113938990564}"
SCN_MAINT_EDGE_ROAD_NODE_006_NODE_057,maintenance,edge,EDGE_ROAD_NODE_006_NODE_057,2025-07-31,2025-08-02,0.7111241172356537,"{""time_mult"": 1.2698303917281206, ""cost_mult"": 1.3129181180285283}"
SCN_MAINT_EDGE_ROAD_NODE_042_NODE_095,maintenance,edge,EDGE_ROAD_NODE_042_NODE_095,2025-08-10,2025-08-11,0.6091546466050123,"{""time_mult"": 1.584158542833697, ""cost_mult"": 1.2119978934577713}"
SCN_MAINT_EDGE_ROAD_NODE_049_NODE_091,maintenance,edge,EDGE_ROAD_NODE_049_NODE_091,2025-07-30,2025-08-02,0.5981648319417525,"{""time_mult"": 1.2810119854637891, ""cost_mult"": 1.1372992278564644}"
SCN_MAINT_EDGE_ROAD_NODE_035_NODE_063,maintenance,edge,EDGE_ROAD_NODE_035_NODE_063,2025-08-17,2025-08-18,0.5433744897064579,"{""time_mult"": 1.476878496991084, ""cost_mult"": 1.1630959567068966}"
SCN_MAINT_EDGE_ROAD_NODE_034_NODE_090,maintenance,edge,EDGE_ROAD_NODE_034_NODE_090,2025-10-10,2025-10-13,0.7899044253301788,"{""time_mult"": 1.489326691995613, ""cost_mult"": 1.3121458774161159}"
SCN_MAINT_EDGE_TRANSFER_NODE_041_NODE_046,maintenance,edge,EDGE_TRANSFER_NODE_041_NODE_046,2025-10-03,2025-10-04,0.527652101172913,"{""time_mult"": 1.3745227461647889, ""cost_mult"": 1.2124815505100581}"
SCN_MAINT_EDGE_ROAD_NODE_015_NODE_072,maintenance,edge,EDGE_ROAD_NODE_015_NODE_072,2025-10-06,2025-10-09,0.5263948082575187,"{""time_mult"": 1.3362220837055376, ""cost_mult"": 1.3252187913857152}"
SCN_MAINT_EDGE_ROAD_NODE_064_NODE_096,maintenance,edge,EDGE_ROAD_NODE_064_NODE_096,2025-10-20,2025-10-23,0.6120988154479381,"{""time_mult"": 1.2564968065159248, ""cost_mult"": 1.2149080307011637}"
SCN_MAINT_EDGE_ROAD_NODE_068_NODE_092,maintenance,edge,EDGE_ROAD_NODE_068_NODE_092,2025-08-23,2025-08-25,0.4387154029229412,"{""time_mult"": 1.5248333678085824, ""cost_mult"": 1.3030472691727666}"
SCN_MAINT_EDGE_AIR_NODE_054_NODE_072,maintenance,edge,EDGE_AIR_NODE_054_NODE_072,2025-08-19,2025-08-22,0.7213203539094656,"{""time_mult"": 1.4004738647533033, ""cost_mult"": 1.2226184849497914}"
SCN_MAINT_EDGE_ROAD_NODE_034_NODE_070,maintenance,edge,EDGE_ROAD_NODE_034_NODE_070,2025-07-12,2025-07-13,0.5186587533273059,"{""time_mult"": 1.2304722031280144, ""cost_mult"": 1.170002165742936}"
SCN_MAINT_EDGE_AIR_NODE_006_NODE_065,maintenance,edge,EDGE_AIR_NODE_006_NODE_065,2025-09-20,2025-09-22,0.5665205276611196,"{""time_mult"": 1.4059896701852341, ""cost_mult"": 1.1736967636162094}"
SCN_MAINT_EDGE_ROAD_NODE_068_NODE_099,maintenance,edge,EDGE_ROAD_NODE_068_NODE_099,2025-10-15,2025-10-16,0.545282176925832,"{""time_mult"": 1.4451597931025024, ""cost_mult"": 1.3079865404729374}"
SCN_MAINT_EDGE_AIR_NODE_031_NODE_088,maintenance,edge,EDGE_AIR_NODE_031_NODE_088,2025-07-19,2025-07-22,0.46381402601727784,"{""time_mult"": 1.3237384845657965, ""cost_mult"": 1.3478039879957622}"
SCN_MAINT_EDGE_AIR_NODE_016_NODE_043,maintenance,edge,EDGE_AIR_NODE_016_NODE_043,2025-09-07,2025-09-10,0.6067455287106023,"{""time_mult"": 1.5647730632042403, ""cost_mult"": 1.1740679692538756}"
SCN_MAINT_EDGE_ROAD_NODE_013_NODE_016,maintenance,edge,EDGE_ROAD_NODE_013_NODE_016,2025-07-21,2025-07-24,0.5954422330195954,"{""time_mult"": 1.2687268383220178, ""cost_mult"": 1.162515847897496}"
SCN_MAINT_EDGE_ROAD_NODE_032_NODE_090,maintenance,edge,EDGE_ROAD_NODE_032_NODE_090,2025-09-02,2025-09-04,0.4000216769919234,"{""time_mult"": 1.3589032988285994, ""cost_mult"": 1.1880539544935547}"
SCN_MAINT_EDGE_ROAD_NODE_026_NODE_069,maintenance,edge,EDGE_ROAD_NODE_026_NODE_069,2025-08-06,2025-08-08,0.577249528923002,"{""time_mult"": 1.5682144247080547, ""cost_mult"": 1.352114669490055}"
SCN_MAINT_EDGE_ROAD_NODE_029_NODE_080,maintenance,edge,EDGE_ROAD_NODE_029_NODE_080,2025-07-27,2025-07-30,0.7686432811517292,"{""time_mult"": 1.4353506678480168, ""cost_mult"": 1.1351491002183316}"
SCN_MAINT_EDGE_ROAD_NODE_044_NODE_079,maintenance,edge,EDGE_ROAD_NODE_044_NODE_079,2025-08-06,2025-08-07,0.5799792873869518,"{""time_mult"": 1.3902512639917441, ""cost_mult"": 1.3938457013142163}"
SCN_MAINT_EDGE_ROAD_NODE_006_NODE_065,maintenance,edge,EDGE_ROAD_NODE_006_NODE_065,2025-09-03,2025-09-04,0.4594289001942353,"{""time_mult"": 1.4794085516415936, ""cost_mult"": 1.271240543972999}"
SCN_MAINT_EDGE_ROAD_NODE_013_NODE_024,maintenance,edge,EDGE_ROAD_NODE_013_NODE_024,2025-09-05,2025-09-06,0.5198578506488517,"{""time_mult"": 1.291201947768729, ""cost_mult"": 1.2520805091541398}"
SCN_MAINT_EDGE_ROAD_NODE_040_NODE_059,maintenance,edge,EDGE_ROAD_NODE_040_NODE_059,2025-11-01,2025-11-02,0.6909424031448059,"{""time_mult"": 1.3986590658115008, ""cost_mult"": 1.1229078070892007}"
SCN_MAINT_EDGE_ROAD_NODE_059_NODE_074,maintenance,edge,EDGE_ROAD_NODE_059_NODE_074,2025-08-29,2025-08-30,0.6365842543428225,"{""time_mult"": 1.4033522786785029, ""cost_mult"": 1.1675243291796633}"
SCN_MAINT_EDGE_ROAD_NODE_002_NODE_068,maintenance,edge,EDGE_ROAD_NODE_002_NODE_068,2025-08-11,2025-08-13,0.48652531750945355,"{""time_mult"": 1.280827847744216, ""cost_mult"": 1.227799376509447}"
SCN_MAINT_EDGE_ROAD_NODE_039_NODE_087,maintenance,edge,EDGE_ROAD_NODE_039_NODE_087,2025-10-16,2025-10-19,0.7122144740351207,"{""time_mult"": 1.2432651800074117, ""cost_mult"": 1.346302227686925}"
SCN_MAINT_EDGE_TRANSFER_NODE_049_NODE_086,maintenance,edge,EDGE_TRANSFER_NODE_049_NODE_086,2025-09-25,2025-09-26,0.7273585714799905,"{""time_mult"": 1.2573360745447468, ""cost_mult"": 1.2351038019376948}"
SCN_MAINT_EDGE_ROAD_NODE_054_NODE_072,maintenance,edge,EDGE_ROAD_NODE_054_NODE_072,2025-09-05,2025-09-07,0.7542866605929811,"{""time_mult"": 1.325378859433569, ""cost_mult"": 1.335904902701444}"
SCN_MAINT_EDGE_ROAD_NODE_016_NODE_086,maintenance,edge,EDGE_ROAD_NODE_016_NODE_086,2025-09-05,2025-09-08,0.5575057121381303,"{""time_mult"": 1.4974249955595726, ""cost_mult"": 1.241358926289211}"
SCN_MAINT_EDGE_AIR_NODE_046_NODE_064,maintenance,edge,EDGE_AIR_NODE_046_NODE_064,2025-09-04,2025-09-07,0.5486209802602393,"{""time_mult"": 1.563624813039824, ""cost_mult"": 1.2346597844751912}"
SCN_MAINT_EDGE_TRANSFER_NODE_014_NODE_080,maintenance,edge,EDGE_TRANSFER_NODE_014_NODE_080,2025-10-09,2025-10-11,0.6445697950306867,"{""time_mult"": 1.5737389558798085, ""cost_mult"": 1.2831259272167523}"
SCN_MAINT_EDGE_ROAD_NODE_035_NODE_047,maintenance,edge,EDGE_ROAD_NODE_035_NODE_047,2025-08-21,2025-08-22,0.7466050443194382,"{""time_mult"": 1.5530940615998805, ""cost_mult"": 1.12447154263189}"
SCN_MAINT_EDGE_ROAD_NODE_014_NODE_067,maintenance,edge,EDGE_ROAD_NODE_014_NODE_067,2025-08-24,2025-08-27,0.7163139486790826,"{""time_mult"": 1.4479588948145161, ""cost_mult"": 1.326983586523961}"
SCN_MAINT_EDGE_ROAD_NODE_047_NODE_053,maintenance,edge,EDGE_ROAD_NODE_047_NODE_053,2025-08-01,2025-08-03,0.5651297418003046,"{""time_mult"": 1.5651783918056108, ""cost_mult"": 1.2171122453068062}"
SCN_MAINT_EDGE_AIR_NODE_031_NODE_056,maintenance,edge,EDGE_AIR_NODE_031_NODE_056,2025-10-13,2025-10-16,0.5155208186213565,"{""time_mult"": 1.367058799570252, ""cost_mult"": 1.3331128087471362}"
