from_node,to_node,cost
NODE_000,NODE_001,22845.339757668833
NODE_000,NODE_002,14319.924522160805
NODE_000,NODE_003,7524.52641016618
NODE_000,NODE_004,16080.719607051731
NODE_000,NODE_005,27518.99277393417
NODE_000,NODE_006,23234.688273712043
NODE_000,NODE_007,18141.161244282557
NODE_000,NODE_008,28451.358068109574
NODE_000,NODE_009,1371.1478483280168
NODE_000,NODE_010,2699.438279530264
NODE_000,NODE_011,15938.762733616488
NODE_000,NODE_012,3539.787141836421
NODE_000,NODE_013,13406.165668993204
NODE_000,NODE_014,18152.62050908674
NODE_000,NODE_015,35594.316498616136
NODE_000,NODE_016,12921.47117385641
NODE_000,NODE_017,32428.877093482195
NODE_000,NODE_018,16803.143348680787
NODE_000,NODE_019,15091.619741620214
NODE_000,NODE_020,25199.576869536904
NODE_000,NODE_021,11039.367007115874
NODE_000,NODE_022,5766.379365749885
NODE_000,NODE_023,31835.86658216885
NODE_000,NODE_024,17057.933029502674
NODE_000,NODE_025,17079.525156749092
NODE_000,NODE_026,9346.675080416175
NODE_000,NODE_027,6367.015695390023
NODE_000,NODE_028,4689.96864304944
NODE_000,NODE_029,17436.57181179462
NODE_000,NODE_030,5788.583035554224
NODE_000,NODE_031,26793.510038885262
NODE_000,NODE_032,11666.272488200691
NODE_000,NODE_033,34379.408943997594
NODE_000,NODE_034,18824.53610726692
NODE_000,NODE_035,20768.994567694393
NODE_000,NODE_036,24471.18756985663
NODE_000,NODE_037,11849.24151142278
NODE_000,NODE_038,9346.665882235588
NODE_000,NODE_039,9375.422511543324
NODE_000,NODE_040,34700.72752761097
NODE_000,NODE_041,19578.763435930887
NODE_000,NODE_042,4298.857485932127
NODE_000,NODE_043,11733.715494136946
NODE_000,NODE_044,22035.79676811233
NODE_000,NODE_045,13490.48199673916
NODE_000,NODE_046,20666.83822601386
NODE_000,NODE_047,22447.03378113104
NODE_000,NODE_048,22097.775652772165
NODE_000,NODE_049,17618.21346031811
NODE_000,NODE_050,23560.87971979775
NODE_000,NODE_051,4778.110807831797
NODE_000,NODE_052,19908.341070951603
NODE_000,NODE_053,19271.816328986602
NODE_000,NODE_054,36038.39658394088
NODE_000,NODE_055,29461.78023257124
NODE_000,NODE_056,25348.872372989455
NODE_000,NODE_057,18343.074033370336
NODE_000,NODE_058,13311.48314400073
NODE_000,NODE_059,29787.591847607044
NODE_000,NODE_060,23780.067079259694
NODE_000,NODE_061,13811.557098168325
NODE_000,NODE_062,16777.68415497504
NODE_000,NODE_063,27333.379822367904
NODE_000,NODE_064,18250.927825353643
NODE_000,NODE_065,19012.006615158283
NODE_000,NODE_066,28474.424253410132
NODE_000,NODE_067,19059.234508754882
NODE_000,NODE_068,12852.427709284782
NODE_000,NODE_069,10629.983657324236
NODE_000,NODE_070,17199.944226392003
NODE_000,NODE_071,6762.009581825063
NODE_000,NODE_072,28810.56801798424
NODE_000,NODE_073,12251.760278701677
NODE_000,NODE_074,29698.74242798679
NODE_000,NODE_075,3447.616558739123
NODE_000,NODE_076,17073.595693286316
NODE_000,NODE_077,22974.135108250794
NODE_000,NODE_078,22290.981809132812
NODE_000,NODE_079,16781.880030125958
NODE_000,NODE_080,17948.790654328248
NODE_000,NODE_081,26321.55769310633
NODE_000,NODE_082,30973.88926300984
NODE_000,NODE_083,20754.334978576244
NODE_000,NODE_084,15047.503141260622
NODE_000,NODE_085,31377.974746535787
NODE_000,NODE_086,16123.123120053342
NODE_000,NODE_087,15578.484051540561
NODE_000,NODE_088,27825.998941874026
NODE_000,NODE_089,4918.5861446881445
NODE_000,NODE_090,15431.60744135339
NODE_000,NODE_091,23930.83337217266
NODE_000,NODE_092,9004.425755849197
NODE_000,NODE_093,28057.507294635587
NODE_000,NODE_094,18860.923658399777
